"WYT","Month","EXP1","EXP3","NAA","ALT2 v1 wTUCP","ALT2 v1 woTUCP","ALT2 v2 noTUCP","ALT2 v3 noTUCP"
"All","1",36.9205813278188,31.5785607128657,27.6620685104159,28.9273830102058,28.6937295080091,28.6247503248991,29.1179253144734
"All","2",52.3476115779207,61.5129732176631,55.5788332457714,56.1227257585159,55.8585752259857,55.7876855770891,56.1818728441451
"All","3",27.761955144064,21.8897005839124,22.3776434428931,22.375646671099,22.1568784941012,22.1141642464397,22.1125708091658
"All","4",9.85038914643761,6.04232688615809,4.11723794796625,4.10397391427932,4.04001585014077,4.02447427668483,4.26233458043039
"All","5",2.20387127766,1.0561865718128,1.69338211963371,1.57846666426451,1.58801121752704,1.59399310445653,1.57899222316344
"All","6",0.774495271028694,0.307549425806962,3.51638850853176,3.28099542397419,3.35800265275473,3.38201224743255,2.81852351439312
"All","7",1.00582929675414,0.565183647151903,6.84216200703342,6.54500547071435,6.67736892525959,6.72133606186546,6.47822525839995
"All","8",0.631126646194772,0.0418313090134382,2.94059035683712,2.67470296701835,2.66381613262011,2.78038938239692,2.7242306823811
"All","9",0.462302324854848,0.30260731152624,0.843107585983017,0.855605167905008,0.884840256678083,0.853409897786832,0.881492896856436
"All","10",0.750174735594039,0.918267822870762,0.485769338737258,0.484438710231208,0.495055054440041,0.488460932482684,0.484153085210238
"All","11",2.50725318848124,1.14412006326198,0.818344831172931,0.851177913139515,0.828197148103129,0.813311138429845,0.955577569040924
"All","12",18.6419921246017,44.7249284957923,11.8578835686793,12.3175932054418,12.3085548074748,12.3349458702614,12.3347872445779
