"WYT","Month","NAA","ALT1","ALT2 v1 wTUCP","ALT2 v1 woTUCP","ALT2 v2 noTUCP","ALT2 v3 noTUCP","ALT3","ALT4"
"All","1",27.6620685104159,28.7408087330262,28.5815245478101,28.4910415032357,28.3487973949058,28.8502468977041,30.862526891653,28.4784887616593
"All","2",55.5788332457714,57.2779032278866,55.6549627242836,55.7380713342198,55.6596915951939,56.1822315640793,56.4521617872659,56.7706678117341
"All","3",22.3776434428931,22.662988095307,22.2372205148639,22.7946831005501,22.2505365353772,22.1384278775508,22.5019580525866,22.4493279957529
"All","4",4.11723794796625,4.83572293132204,4.0328839158138,4.08645637617126,4.03906576092059,4.27150154612446,4.11529842178031,4.10590118146304
"All","5",1.69338211963371,1.71382887100536,1.57386160214474,1.57281866595166,1.59473403469083,1.58895478537872,2.40026385589321,1.62898225460153
"All","6",3.51638850853176,4.07549132578664,3.3940894695202,3.34059479518758,3.4029415571887,2.8307833760664,2.47618542773352,3.46199775257521
"All","7",6.84216200703342,6.8359450793485,6.61429034861019,6.43643312605269,6.61627929697878,6.47053553651781,6.21964777742092,6.86359178402659
"All","8",2.94059035683712,2.05726678194628,2.74220955889092,2.74173313167323,2.88248710667688,2.74134238323565,3.69389658404798,2.52968188933398
"All","9",0.843107585983017,0.58500760629252,0.915839026755693,0.908843501790188,0.945141900640501,0.969140737677209,0.917189857442482,0.643938170731197
"All","10",0.485769338737258,0.506950854192248,0.500134586113191,0.487939853836938,0.480732371989977,0.479683881466854,0.531866498675364,0.480999632338024
"All","11",0.818344831172931,1.31290188815903,0.830979840551201,0.904096359266828,0.763570204974659,0.892005327590934,1.1551086003913,0.954324597685344
"All","12",11.8578835686793,12.523349839548,12.1172524333817,12.1145670658299,12.287065123282,12.2945136763634,12.7168243505968,12.5653131348342
