"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1981,0.373330895769474,0.0310850718933392,0.0289455031571532,0.238580652346672,0.671998337950308,1.63335460920939,0.0716363726616982
1982,0.381521525893703,0.154209345428989,0.153334596364492,-0.0287441428260592,0.081719391903416,0.704526796693252,0.176952821105674
1983,0.0585289571521044,0.0148156631483747,0.0145710980012481,0.0391304235398056,0.046190879140671,0.0255266819485123,0.0193595901175484
1984,0.0635525226513511,0.0206779881642132,0.0199383388438821,-0.0234936807997474,-0.0438466001544039,0.490232816872544,0.0275813818205639
1985,-0.319516466242696,0.0389404689762094,0.0401601509439046,-0.138404863287497,0.264295700232382,2.09326912474728,0.0430686233284326
1986,0.598114050347632,0.417358811867464,0.414059864934124,0.416587919411306,0.719481677652682,1.94533989009543,0.444987492434068
1987,-1.00728861140071,0.109573283031006,0.116306244385482,0.111701130159127,0.418875020959167,0.638481857464516,0.0439305245140761
1988,-3.58193384434495,0.103173335047876,0.102373778623449,0.0884681173692764,0.418748579609656,-1.02505679969903,0.0868817363106082
1989,0.887059877394184,-0.0465643754747419,0.00388120036802515,1.02775924095088,-0.0531701049555474,1.59284663682456,0.970574216407047
1990,0.606782321138105,1.25972150116958,1.23021917899031,1.24010209088659,1.84875118427177,4.21847010490324,1.31626151811695
1991,3.40225836668276,0.867650083851075,4.36594425583239,1.2634823295713,1.6620808391028,1.52638138652491,0.596414104007501
1992,0.38702692236402,0.018652368787598,0.980468041155877,-0.530320315757251,-0.178031849138627,0.515238849079774,0.06328378017449
1993,-0.337794957454757,-0.0871562721428521,-0.617226961463449,-0.483423842037587,-0.324869121120429,0.709063757967071,-0.0816193632579248
1994,0.186616726282467,0.293019243281595,0.427206341363823,0.333467985765721,0.772443161771058,2.5808441776842,0.361594204691256
1995,0.237351126928628,0.0296343407323239,0.36295744722606,0.0672055381929797,0.376089262067197,1.26865327171802,0.146643205743841
1996,0.883197880600511,-0.0553118559885841,-0.0522248938778107,-0.0736666074474153,-0.0176485740799052,1.74852595727836,-0.0674062424263684
1997,-0.0690256610458839,0.105536983425776,0.163800106173189,0.246287491096454,0.355747186656067,0.848695481264315,0.13262949675082
1998,0.301889175269668,0.0705965112383701,0.223804943996724,0.127333071425796,0.300828464730055,1.33886868199344,0.152986330927048
1999,0.0539578620221948,0.00598291871081493,0.0487814182473204,0.0263220290429289,0.0585753999112347,0.746267830926386,0.0195279465884063
2000,-0.0255933065604006,0.163233282867781,0.216330887183601,0.250183382239315,0.585061043560397,2.15487802832861,0.164864765016759
