"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1981,5892257.7,5872166.7,5872041.1,5884347.4,5909790.5,5966225.4,5874547.2,6168624.1,5984808.6,5870341.9
1982,10809887.9,10785409.1,10785314.9,10765707.2,10777602.8,10844671.7,10787858.3,11110891.1,11129864.7,10768802.6
1983,12846629.4,12841017,12840985.6,12844138.8,12845045.3,12842392.2,12841600.4,12938766.4,13048427.1,12839114.8
1984,12743859,12738398.6,12738304.4,12732773,12730180.9,12798200,12739277.8,13249104.1,13412387.5,12735765.1
1985,2231136.7,2239160,2239187.3,2235190.5,2244204.1,2285141.8,2239252.4,2389191.3,2458799.7,2238288.4
1986,7660094.8,7646331.1,7646079.9,7646272.4,7669336.4,7762680,7648434.9,7914446.8,7884393,7614551.1
1987,4107934.4,4154281.2,4154560.6,4154369.5,4167116.4,4176229.5,4151557.2,4219959.2,4110882.1,4149734.2
1988,3786508.6,3931229.3,3931197.9,3930651.8,3943622.5,3886921.7,3930589.5,3874790,3725261.4,3927177.5
1989,3017877.6,2989949.7,2991458.7,3022086.4,2989752.1,3038990.1,3020375.8,3198051.7,3047571.1,2991342.6
1990,2473709,2489763.4,2489038,2489281,2504246.4,2562512.8,2491153.6,2637566.1,2494838.7,2458789.5
1991,2982904.3,2909787,3010704.3,2921205.8,2932704.4,2928789.8,2901962.5,3020283.9,2917671.6,2884757.4
1992,4126916.7,4111772.8,4151313.1,4089204.5,4103687.1,4132187.5,4113607.6,4323030.6,4137001.9,4111006
1993,5725676.2,5740075.6,5709622.6,5717309.7,5726418.8,5785819.1,5740393.7,6003885.8,5833434.8,5745082.8
1994,1700872.4,1702678.8,1704956.9,1703365.5,1710818,1741519.3,1703843,1770499.2,1712365.5,1697704.2
1995,7253036.4,7238006.3,7262125.1,7240724.9,7263075.3,7327660,7246472.9,7734211.3,7370265.5,7235862
1996,6885763.1,6821705.3,6821916,6820452.5,6824276,6944825.9,6820879.8,7039388.7,6948585.4,6825480.6
1997,10225653,10243515.5,10249477.4,10257918.1,10269118.8,10319560.8,10246287.8,10548247.7,10264601.1,10232716.2
1998,10070750.5,10047527.7,10062910.5,10053224.3,10070644,10174867.8,10055800,10296340.8,10144680,10040439.5
1999,10669445.5,10664329.6,10668893.5,10666498.5,10669937.9,10743271.3,10665774,10987970.4,11406787.5,10663691.6
2000,6581286.4,6593716.8,6597212.2,6599440.7,6621485.6,6724826.2,6593824.2,6880240.8,6660108.6,6582971.2
