"WYT","Month","Alt2wTUCPwoVA","Alt2woTUCPAllVA","Alt2woTUCPDeltaVA","Alt2woTUCPwoVA","EXP1","EXP3","NAA"
"All","11",0.0218679461088597,0.0218623182538747,0.0218674655991305,0.0218570417215136,0.0219241189362192,0.0219878983966643,0.0219147815122085
"All","12",0.02207330019516,0.0220738499084508,0.0220748269383756,0.0220719358113831,0.0221050286574129,0.0220640503357598,0.0220658012989053
"All","1",0.0221028071050466,0.0221026637696321,0.0221023984703002,0.0221037089781987,0.0221162186336597,0.0221002687294353,0.0221060623404377
"All","2",0.0204911944891813,0.0204918902854055,0.0204916192523998,0.0204930732509447,0.020502149167592,0.0204860727436417,0.0204935743973259
"All","3",0.0203635190510423,0.0203638954321368,0.0203641942722081,0.0203638431507612,0.0203831962284241,0.0203369443521051,0.0203575264965323
"All","4",0.0193760307409614,0.0193846765367307,0.0193829572909742,0.0193683769350986,0.0192199490478232,0.0188789153786035,0.0191769077364606
"All","5",0.0190593004182042,0.0190686030105868,0.0190800902799508,0.0190748180845708,0.0130918572464414,0.018656486409495,0.0186848818033112
"C","11",0.0218713995482479,0.0218825217994139,0.0218806145149885,0.0218058127916006,0.0219702270325957,0.0220036412194024,0.0217977943791999
"C","12",0.0220808512555332,0.0220780741571909,0.0220813119295481,0.0220740836167674,0.0221073534085702,0.0220526248156472,0.0220560016208694
"C","1",0.0220927115516309,0.0220921742100261,0.0220916630876826,0.0220962043629985,0.0221161825788504,0.0220917901017334,0.0220991167863148
"C","2",0.0204827496972832,0.0204838301717723,0.0204833299675866,0.0204897421066126,0.020498894664231,0.0204747424127208,0.0204884745478506
"C","3",0.0201305471349908,0.0201329172789661,0.0201321705726588,0.0201306057967213,0.0201494554534601,0.0200312060771281,0.0201039158509937
"C","4",0.0194236415558759,0.0194609142726806,0.0194499752437912,0.019433602138648,0.0182655017666356,0.0179596360311681,0.0187513281535543
"C","5",0.0195611350786602,0.0195780674762527,0.0195677640098471,0.0195417431713671,0.00925365625953419,0.0183631311603591,0.0194328445604314
"D","11",0.0219225168837742,0.0219166751896967,0.0219304192770061,0.0219166002260319,0.0218233769711185,0.02200074581044,0.0219590599444366
"D","12",0.0220604345150203,0.0220648639099566,0.0220647661013022,0.0220610055085276,0.0220919514848544,0.0220530727841222,0.022042201946513
"D","1",0.0220937866683888,0.0220933173444438,0.0220927595633429,0.0220936637800733,0.0221130328500527,0.0220920775847882,0.0220991493727877
"D","2",0.020478780004523,0.0204801508018938,0.0204798748011633,0.020479152677789,0.0205102171521297,0.0204723372277985,0.0204826716233431
"D","3",0.0204187361348519,0.0204176427501586,0.0204194306240382,0.0204197609624063,0.0204794652971464,0.0204419917866668,0.0204222050895935
"D","4",0.0184910650449899,0.018482658322529,0.01849590223296,0.0184430947048818,0.0185684424172894,0.0181614470292922,0.0183214267462956
"D","5",0.0186540209881806,0.018658207833689,0.018713236857806,0.0187447529895815,0.00367055060042788,0.0185194537118732,0.0177966755079075
"AN","11",0.0213325015435374,0.0212562560308379,0.0212654051850841,0.0213918350614717,0.0219966295689133,0.0217603596936894,0.0215983698307507
"AN","12",0.0220712940382311,0.0220729240705207,0.0220737341224585,0.0220739526533581,0.0221127205648078,0.022058321031996,0.0220676615293677
"AN","1",0.0221126463736111,0.022113288646408,0.0221134467317435,0.0221135926184811,0.0221207363437124,0.0221110291997705,0.0221127543169489
"AN","2",0.0205033910256716,0.0205037676441119,0.0205037950218022,0.0205041051855312,0.0205043841021456,0.0205005321016199,0.0205029239962275
"AN","3",0.0204849951153098,0.0204858808657342,0.0204860630905565,0.0204859638911084,0.0204812356496521,0.0204772909190196,0.0204845017922284
"AN","4",0.0194468948099863,0.0194875692825709,0.0194361884977548,0.0194419320244706,0.019848228887604,0.0195360478244613,0.0194580045151611
"AN","5",0.0191859664158694,0.0191750782598865,0.0192025942829782,0.0192139120733773,0.0185802070516972,0.0191445705446852,0.0188444798307626
"W","11",0.0219607615348648,0.0219616159177736,0.0219659724366083,0.0219624110494663,0.0219271640599005,0.0220240065785705,0.0220304087676581
"W","12",0.0220752690543322,0.0220757026224659,0.0220759384966272,0.0220751523114443,0.0221078398929304,0.0220765499373865,0.0220813207809968
"W","1",0.0221102383246666,0.0221102841857689,0.0221101913611925,0.0221101463768584,0.0221166506323674,0.0221062283712607,0.0221115063057923
"W","2",0.0204986932475306,0.0204989462614945,0.0204987384402006,0.020498659267068,0.0204998748019862,0.0204952588549773,0.0204991756357153
"W","3",0.0204414122862071,0.0204412210573114,0.020441464878178,0.0204414291555306,0.020448479423699,0.0204289230746393,0.0204414585258718
"W","4",0.0197271508044351,0.0197203541684393,0.0197281426303531,0.0197270316822516,0.0199001382976578,0.0195624715166821,0.0197310886606597
"W","5",0.018932479576258,0.0189443038862159,0.0189449832836223,0.0189312010810556,0.0181918052362279,0.0187719018279158,0.0186286390634347
