"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1980,904074.1,951737.9,951280.1,962244.6,984310.6,985249,944895,82703.5,1007063.3,953817.6
1981,1653351.8,1658038.6,1657818.8,1626335.6,1663819,1636891,1682089.2,231502.5,1729331.3,1650443.5
1982,2413807.4,2453731.6,2453606,2458181.7,2471450.6,2447803.8,2442052.7,607045.9,2425011.1,2454127.5
1983,2270396.4,2364455.3,2363903.3,2362608.6,2417113.2,2358421.9,2368338.4,332545.1,2169436.8,2363508.3
1984,1823373.3,1923936.1,1923518.8,1920190,1964646.1,1848355.3,1930569.2,53385,1965753.3,1896889
1985,2177005.4,2354006.2,2353391.4,2310261.7,2437277.6,2298038.9,2354060.8,21159.5,2530439.7,2334569.3
1986,2837427.4,3164665.5,3164970.4,3156690.4,3224604.5,3027248.3,3118557.4,16799,3112261.4,3116900.5
1987,1185220.7,1193794.8,1194683.1,1192264.4,1214484.6,1228519.8,1247147.9,1099,1374606.7,1248263.3
1988,893547.6,1076029.7,1073706.1,1054380.2,1119581.2,1028740.3,1075678.4,408.2,1503415.8,1063812.9
1989,1260950.4,1501757.4,1501650,1518381.6,1622104.3,1420833.7,1519018.7,439.6,1966996.1,1489851.8
1990,515584.5,581726.5,566878.4,551900.6,549608.4,578460.9,577024.7,502.4,701259.3,574922.3
1991,292789.7,355534.6,329687.4,359641.6,359076.4,324143.7,349286,31.4,366622.9,292482.1
1992,438928.6,469413.9,17530.3,111435.4,120770.3,476278.2,626037,471,657798.3,647095.5
1993,451948.2,459745.4,459516.5,456022,466797.2,455384.4,458924,659.4,591396,453477.7
1994,494802.8,544952.2,423019.7,446234.3,461324.5,575182.2,572603.3,345.4,615234.9,568512.2
1995,740000.5,705052.3,674051.4,674742.2,676563.4,737977.7,703796.3,1727,732110.9,710807.6
1996,895582.5,913162.4,910305,907963.2,907178.2,915462.8,915517.4,3045.8,875694,915005.9
1997,606400.3,646996.4,646745.2,644986.8,644484.4,653868.9,646054.4,6280,655098.5,645143.8
1998,992908.4,1002525.9,999574.3,996393.8,995514.6,1005330.5,1001050.1,942,975962.4,1003562.1
1999,679496,697803.9,676296.4,670997.1,671819.4,691665.4,695797.5,7944.2,708112.4,695601.8
