"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
1980,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398
1981,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707
1982,6068.93596328211,7847.28640573413,7768.78217821478,7759.57320688585,7759.03557649656,7789.64369788245,7827.45049035325
1983,2154.57667596357,8245.19240638003,7983.79188429143,7979.79118717075,7978.35466199215,7987.39663216861,8135.80411912735
1984,1634.3252603129,11183.1402161706,11003.5677179167,11023.6196936256,11022.2158795885,10951.4557807761,11152.3220713675
1985,2986.93232242987,13563.3115714677,13996.6726433242,14015.5019703145,14014.216985767,13962.4803987183,14138.410788297
1986,2682.20236989873,13808.1958111164,14496.7087984753,14543.8129866707,14541.7924412968,14528.1430071511,14737.7741132501
1987,1066.40818388095,12995.4712509048,12962.2324025672,13066.4026024156,13063.8237723422,12993.2096824087,13320.8730849996
1988,197.695471542125,13259.3590363853,12725.9250985096,12844.8535346865,12842.5431401556,12730.8054062582,13170.6612421238
1989,96.1951884469335,12342.9269969023,11926.789065666,11948.6631695723,11948.4906238405,11896.5656777355,12240.0636265333
1990,40.1864351672066,8735.28482724842,7847.09339189359,7753.63823961002,7752.2194958167,7726.90756076047,7937.96691562958
1991,5.02948866784256,7728.66514102284,5842.29031273429,5813.94316571442,5808.51810932679,5766.43458496944,6096.69926816471
1992,3.75139357971485,7669.64129698402,5702.01935985535,5772.60289475201,5781.8508565369,5753.11505378892,6117.16747731005
1993,3.0349797279487,4715.61854368596,3627.49589652038,3774.09848323973,3760.80885378843,3767.90773072658,3901.18017799
1994,2.07088289000724,2790.63057484477,2389.55948740283,2366.5558698039,1633.9615279535,1844.15799872709,1856.12827100468
1995,3.31878401539873,3587.9802477206,3269.56268170087,2950.98419083041,1574.98394794047,1909.25902708658,1964.88703844236
1996,4.54042767599271,4147.79627708421,3664.69991038109,3468.84223245484,2678.72234882294,2832.61156500777,2907.93178251875
1997,6.89715893319882,3731.81233819946,3347.88891082788,3313.11727430481,3002.48585514158,3033.44537656294,3086.87827870075
1998,15.9229564208418,4405.32661426608,4311.01635297616,4273.3734688733,4008.19107319712,4026.15084415085,4048.52269384674
1999,33.2195521385672,5467.25531532092,5558.24696288399,5553.61785015848,5471.22195313128,5461.15538600905,5466.15390702537
